id;kota;provinsi;hsbgn
Kota_393;MAROS;Sulawesi Selatan;6079734
Kota_306;SIKKA;Nusa Tenggara Timur;6086153
Kota_395;PINRANG;Sulawesi Selatan;6095054
Kota_7;SLEMAN;Daerah Istimewa Yogyakarta;6103531
Kota_389;KEPULAUAN SELAYAR;Sulawesi Selatan;6110044
Kota_397;SINJAI;Sulawesi Selatan;6110044
Kota_399;TAKALAR;Sulawesi Selatan;6110044
Kota_388;JENEPONTO;Sulawesi Selatan;6118619
Kota_273;BADUNG;Bali;6130000
Kota_287;LOMBOK UTARA;Nusa Tenggara Barat;6130000
Kota_371;BONE BOLANGO;Gorontalo;6130000
Kota_372;GORONTALO;Gorontalo;6140000
Kota_384;BONE;Sulawesi Selatan;6140074
Kota_344;GUNUNG MAS;Kalimantan Tengah;6146308
Kota_345;KAPUAS;Kalimantan Tengah;6149252
Kota_343;BARITO UTARA;Kalimantan Tengah;6150252
Kota_119;KOTA TANGERANG SELATAN;Banten;6180000
Kota_340;KOTA BANJARMASIN;Kalimantan Selatan;6200000
Kota_334;KOTABARU;Kalimantan Selatan;6230000
Kota_409;BUOL;Sulawesi Tengah;6290000
Kota_33;KOTA BOGOR;Jawa Barat;6330000
Kota_354;KOTA PALANGKARAYA;Kalimantan Tengah;6330000
Kota_449;KOTA MANADO;Sulawesi Utara;6340000
Kota_164;BINTAN;Riau;6373602
Kota_168;NATUNA;Riau;6373602
Kota_114;SERANG;Banten;6390000
Kota_165;KARIMUN;Riau;6424476
Kota_436;BOLAANG MONGONDOW;Sulawesi Utara;6442604
Kota_509;MIMIKA;Papua Tengah;6443782
Kota_439;BOLAANG MONGONDOW UTARA;Sulawesi Utara;6445187
Kota_64;TEMANGGUNG;Jawa Tengah;6460000
Kota_166;KEPULAUAN ANAMBAS;Riau;6466805
Kota_14;BEKASI;Jawa Barat;6468571
Kota_107;KOTA MALANG;Jawa timur;6475000
Kota_437;BOLAANG MONGONDOW SELATAN;Sulawesi Utara;6477799
Kota_304;ROTE NDAO;Nusa Tenggara Timur;6480000
Kota_446;MINAHASA UTARA;Sulawesi Utara;6480000
Kota_167;LINGGA;Riau;6491152
Kota_34;KOTA CIMAHI;Jawa Barat;6520000
Kota_438;BOLAANG MONGONDOW TIMUR;Sulawesi Utara;6526222
Kota_311;TIMOR TENGAH SELATAN;Nusa Tenggara Timur;6550000
Kota_350;MURUNG RAYA;Kalimantan Tengah;6591270
Kota_76;BLITAR;Jawa timur;6606000
Kota_116;KOTA CILEGON;Banten;6610000
Kota_416;TOJO UNA-UNA;Sulawesi Tengah;6630000
Kota_341;BARITO SELATAN;Kalimantan Tengah;6644296
Kota_342;BARITO TIMUR;Kalimantan Tengah;6644296
